x,y,z
409.80814,-860.197,528.93365
411.891,-859.7205,529.26587
413.97388,-859.24396,529.5981
416.05676,-858.7674,529.9303
418.13965,-858.2909,530.2625
420.2225,-857.81433,530.5947
422.3054,-857.33777,530.92694
424.38828,-856.86127,531.25916
426.47113,-856.3847,531.5914
428.55402,-855.90814,531.9236
430.6369,-855.43164,532.2558
427.74908,-845.1369,535.5944
425.6662,-845.61346,535.2622
423.5833,-846.09,534.93
421.50043,-846.5665,534.5978
419.41757,-847.0431,534.26556
417.3347,-847.51965,533.93335
415.2518,-847.99615,533.60114
413.1689,-848.4727,533.2689
411.08606,-848.9493,532.9367
409.00317,-849.4258,532.6045
406.9203,-849.90234,532.2723
404.8374,-850.3789,531.94006
402.75455,-850.85547,531.60785
400.67166,-851.332,531.27563
398.58878,-851.80853,530.9434
396.5059,-852.28503,530.6112
394.42303,-852.7616,530.279
392.34015,-853.23816,529.9468
390.25726,-853.7147,529.6145
388.17438,-854.1912,529.2823
385.28656,-843.89655,532.6209
387.36945,-843.42,532.9531
389.4523,-842.9435,533.28534
391.5352,-842.4669,533.61755
393.61807,-841.99036,533.94977
395.70096,-841.5138,534.282
397.7838,-841.0373,534.6142
399.8667,-840.5607,534.9464
401.9496,-840.0842,535.2786
404.03247,-839.60767,535.61084
406.11533,-839.1311,535.94305
408.1982,-838.65454,536.27527
410.2811,-838.17804,536.6075
412.36398,-837.7015,536.9397
414.44684,-837.2249,537.2719
416.52972,-836.7484,537.6041
418.6126,-836.27185,537.93634
420.6955,-835.7953,538.26855
422.77835,-835.3188,538.6008
424.86124,-834.8422,538.93304
421.97342,-824.54755,542.2716
419.89053,-825.02405,541.9394
417.80765,-825.5006,541.6072
415.72476,-825.9772,541.27496
413.6419,-826.4537,540.94275
411.55902,-826.93024,540.61053
409.47614,-827.4068,540.2783
407.39325,-827.8833,539.9461
405.3104,-828.35986,539.6139
403.2275,-828.8364,539.2817
401.14462,-829.313,538.94946
399.06174,-829.7895,538.61725
396.97888,-830.26605,538.28503
394.896,-830.7426,537.9528
392.8131,-831.2191,537.6206
390.73022,-831.6957,537.2884
388.64734,-832.17224,536.9562
386.56448,-832.64874,536.62396
384.4816,-833.1253,536.29175
382.3987,-833.60187,535.95953
